Instanta;Algoritm;Run;Cutii_Plasate;Total_Cutii;Procentaj_Umplere;Timp_s
1;SA;1;94;112;76,7898;46,2049
1;GA;1;98;112;81,3876;38,6040
1;SA;2;98;112;80,8438;53,5620
1;GA;2;96;112;82,2329;41,2147
1;SA;3;101;112;84,8118;46,4788
1;GA;3;99;112;82,2059;44,0517
1;SA;4;99;112;82,7497;48,9554
1;GA;4;98;112;80,8438;43,3321
1;SA;5;97;112;80,0254;44,3396
1;GA;5;97;112;79,4817;46,0691
2;SA;1;126;138;82,6280;135,0404
2;GA;1;127;138;80,5488;103,2478
2;SA;2;125;138;80,9630;124,0742
2;GA;2;125;138;77,2188;117,5990
2;SA;3;129;138;83,8788;126,1765
2;GA;3;127;138;81,7969;105,8217
2;SA;4;128;138;83,4619;110,0034
2;GA;4;127;138;80,5488;102,6408
2;SA;5;128;138;82,2138;105,4832
2;GA;5;124;138;80,5460;104,6892
3;SA;1;104;127;77,9858;30,0489
3;GA;1;106;127;79,8819;26,4904
3;SA;2;95;127;75,4010;27,1443
3;GA;2;103;127;78,0162;28,6515
3;SA;3;103;127;77,1145;31,6550
3;GA;3;103;127;78,8348;27,1357
3;SA;4;104;127;77,5765;23,8188
3;GA;4;110;127;83,4375;26,2999
3;SA;5;103;127;76,3022;31,6260
3;GA;5;104;127;78,7275;27,2730
4;SA;1;176;197;81,6350;292,8668
4;GA;1;175;197;80,4971;260,5705
4;SA;2;178;197;82,0021;303,6729
4;GA;2;174;197;81,2792;263,4905
4;SA;3;178;197;81,0387;270,7096
4;GA;3;180;197;80,4402;266,7081
4;SA;4;180;197;80,4402;315,8627
4;GA;4;174;197;80,3136;272,6085
4;SA;5;175;197;79,5450;255,3362
4;GA;5;177;197;81,8208;179,3836
5;SA;1;104;136;76,1655;34,6406
5;GA;1;105;136;77,0367;31,1606
5;SA;2;110;136;77,3937;36,2885
5;GA;2;106;136;75,6128;33,8450
5;SA;3;103;136;75,1651;34,6203
5;GA;3;104;136;76,4294;31,0670
5;SA;4;101;136;72,9263;32,1320
5;GA;4;108;136;78,1500;29,7853
5;SA;5;98;136;71,4200;33,7699
5;GA;5;104;136;76,7967;33,3099
6;SA;1;124;147;78,3279;57,4731
6;GA;1;123;147;79,9215;64,0172
6;SA;2;115;147;73,8996;78,0446
6;GA;2;126;147;79,6084;72,2926
6;SA;3;119;147;76,9371;75,9684
6;GA;3;124;147;78,9964;76,2930
6;SA;4;122;147;78,7353;76,7754
6;GA;4;117;147;78,4167;62,2231
6;SA;5;122;147;76,0613;77,3063
6;GA;5;128;147;79,3069;67,7142
7;SA;1;109;126;76,6970;39,6384
7;GA;1;108;126;80,7481;35,1076
7;SA;2;113;126;81,1400;39,5519
7;GA;2;111;126;79,8571;38,4360
7;SA;3;110;126;80,2895;40,4668
7;GA;3;110;126;81,0054;33,9827
7;SA;4;113;126;80,2015;41,9481
7;GA;4;111;126;79,9924;37,2655
7;SA;5;106;126;75,4885;40,2018
7;GA;5;110;126;80,8700;33,8312
8;SA;1;155;180;81,3119;141,2443
8;GA;1;156;180;80,9836;123,4599
8;SA;2;154;180;79,9117;161,4301
8;GA;2;159;180;82,8796;876,7652
8;SA;3;157;180;83,3609;167,0468
8;GA;3;157;180;82,0957;141,7559
8;SA;4;155;180;80,3036;177,2665
8;GA;4;159;180;83,7438;143,6665
8;SA;5;160;180;83,8477;162,6974
8;GA;5;157;180;81,6636;151,6371
9;SA;1;86;101;84,2216;13,5802
9;GA;1;89;101;86,6191;12,0431
9;SA;2;86;101;84,7900;12,1785
9;GA;2;88;101;85,7245;11,1306
9;SA;3;87;101;84,6903;14,6028
9;GA;3;87;101;83,5550;12,1692
9;SA;4;89;101;87,1860;13,3762
9;GA;4;89;101;86,7601;11,7347
9;SA;5;86;101;83,6532;12,6697
9;GA;5;89;101;87,1860;12,1862
10;SA;1;109;130;77,7196;36,1407
10;GA;1;114;130;78,6148;29,6436
10;SA;2;116;130;79,4298;34,3334
10;GA;2;114;130;79,4823;32,7665
10;SA;3;111;130;79,2922;35,8731
10;GA;3;113;130;78,0426;30,8580
10;SA;4;111;130;80,0498;31,0975
10;GA;4;113;130;80,3268;33,3077
10;SA;5;107;130;78,2003;32,5310
10;GA;5;114;130;80,4596;34,9193
