Instanta;Algoritm;Nr_Rulari;Total_Cutii;Vol_Container;Umplere_Min_pct;Umplere_Max_pct;Umplere_Medie_pct;Cutii_Plasate_Medie;Timp_Mediu_s
1;SA;5;112;30089620,0000;76,7898;84,8118;81,0441;97,8000;47,9081
1;GA;5;112;30089620,0000;79,4817;82,2329;81,2304;97,6000;42,6543
2;SA;5;138;30089620,0000;80,9630;83,8788;82,6291;127,2000;120,1555
2;GA;5;138;30089620,0000;77,2188;81,7969;80,1319;126,0000;106,7997
3;SA;5;127;30089620,0000;75,4010;77,9858;76,8760;101,8000;28,8586
3;GA;5;127;30089620,0000;78,0162;83,4375;79,7796;105,2000;27,1701
4;SA;5;197;30089620,0000;79,5450;82,0021;80,9322;177,4000;287,6896
4;GA;5;197;30089620,0000;80,3136;81,8208;80,8702;176,0000;248,5522
5;SA;5;136;30089620,0000;71,4200;77,3937;74,6141;103,2000;34,2903
5;GA;5;136;30089620,0000;75,6128;78,1500;76,8051;105,4000;31,8336
6;SA;5;147;30089620,0000;73,8996;78,7353;76,7922;120,4000;73,1136
6;GA;5;147;30089620,0000;78,4167;79,9215;79,2500;123,6000;68,5080
7;SA;5;126;30089620,0000;75,4885;81,1400;78,7633;110,2000;40,3614
7;GA;5;126;30089620,0000;79,8571;81,0054;80,4946;110,0000;35,7246
8;SA;5;180;30089620,0000;79,9117;83,8477;81,7471;156,2000;161,9370
8;GA;5;180;30089620,0000;80,9836;83,7438;82,2733;157,6000;287,4569
9;SA;5;101;30089620,0000;83,6532;87,1860;84,9082;86,8000;13,2815
9;GA;5;101;30089620,0000;83,5550;87,1860;85,9689;88,4000;11,8528
10;SA;5;130;30089620,0000;77,7196;80,0498;78,9383;110,8000;33,9952
10;GA;5;130;30089620,0000;78,0426;80,4596;79,3852;113,6000;32,2990
